name,area_km2,bbox_minx_polar,bbox_miny_polar,bbox_maxx_polar,bbox_maxy_polar,crs_epsg
Sørfonna,4335.832922856613,215171.36030024572,-1169659.2669979744,320016.0131161042,-1103032.4200437693,3575
Vestfonna,2378.883368889351,165886.75949957134,-1129465.1664767656,235709.64803107225,-1065976.3953940861,3575
Åsgardfonna,911.9811226005864,116295.37502548612,-1183688.2969401781,151327.16779357466,-1127169.1808557955,3575
Kvitøyjøkulen,623.6234779132018,402965.6311529813,-1032099.0081147389,436293.94150630676,-995410.5766467985,3575
Valhallfonna,423.704225814832,138082.92785126864,-1153075.3057341585,160465.96410896454,-1119313.6839005493,3575
Nordmannsfonna,130.74890764203775,184822.19515352606,-1301911.3639787377,201711.77316162313,-1283039.2588810697,3575
Sveabreen,126.2879001405768,72592.39228276194,-1274725.0072520191,95742.77259496816,-1251880.038191403,3575
Gruvfonna,113.63072091859505,146755.37980252606,-1338346.383053021,166742.28938444814,-1323709.7481342985,3575
Veteranen,96.49980724192059,146165.16749050815,-1201490.50106078,156039.34130754403,-1175968.60421921,3575
Himingbjørgfonna,84.10831215427933,132484.11004596952,-1194434.9900222803,148653.37664483069,-1181539.9105849795,3575
Hellefonna,82.13994711525336,169182.7004618256,-1320345.2304836947,180933.93935658093,-1302631.7336852208,3575
Heuglinbreen,71.06231153338571,190614.30648292712,-1283966.3671051469,201423.47509108714,-1270566.3646776031,3575
Nordenskiöldbreen,66.92367694614347,152250.32730939685,-1257600.075248099,162882.83413451537,-1244584.0427805681,3575
Eidembreen,66.89449174473076,65121.770670461054,-1294452.5853037427,81422.97973340382,-1283523.9143036723,3575
Isrosa,46.94992547451409,187701.12672814605,-1307515.8842438997,201027.4351513477,-1299877.7988941947,3575
Edvardbreen,46.232427338591705,171864.20520048257,-1345952.5972722026,184041.79618640777,-1332415.3776392941,3575
Esmarkbreen,42.86091919210133,80684.19564229425,-1301763.4975387289,89571.93214032202,-1289799.1439381195,3575
Venernbreen,42.524210336145444,70095.09890947441,-1299447.1671914207,82844.26880783115,-1291034.3197949477,3575
Dunérbreen,40.49525952148258,132462.52320939006,-1137756.079230218,139052.91440537485,-1123931.7493181499,3575
Fridtjovbreen,39.08013950941313,98906.08004624947,-1358207.2889868051,108050.68047678251,-1346256.5125891278,3575
