clinic_id,name,subdistrict,wkt_geom
1,Mokoena Western Clinic,Western,POINT(18.478309 -33.888756)
2,Ndlovu Western Clinic,Western,POINT(18.421127 -33.924929)
3,Pieterse Western Clinic,Western,POINT(18.389237 -33.976099)
4,van der Merwe Western Clinic,Western,POINT(18.47354 -33.890933)
5,Khumalo Western Clinic,Western,POINT(18.433735 -33.921306)
6,Botha Western Clinic,Western,POINT(18.383284 -33.977392)
7,Naidoo Western Clinic,Western,POINT(18.465994 -33.893319)
8,Adams Western Clinic,Western,POINT(18.446106 -33.917728)
9,Hendricks Western Clinic,Western,POINT(18.380309 -33.97843)
10,Jansen Western Clinic,Western,POINT(18.456153 -33.895902)
11,Mthembu Western Clinic,Western,POINT(18.457449 -33.914217)
12,Cloete Western Clinic,Western,POINT(18.380503 -33.97921)
13,September Southern Clinic,Southern,POINT(18.421231 -34.033037)
14,October Southern Clinic,Southern,POINT(18.467572 -33.996469)
15,Williams Southern Clinic,Southern,POINT(18.492329 -34.073855)
16,Patel Southern Clinic,Southern,POINT(18.424934 -34.03633)
17,Solomons Southern Clinic,Southern,POINT(18.457492 -33.994872)
18,du Toit Southern Clinic,Southern,POINT(18.497199 -34.072091)
19,Plaatjies Southern Clinic,Southern,POINT(18.430873 -34.039615)
20,Mbeki Southern Clinic,Southern,POINT(18.447572 -33.993491)
21,Mokoena Southern Clinic,Southern,POINT(18.499696 -34.070128)
22,Ndlovu Southern Clinic,Southern,POINT(18.438669 -34.042876)
23,Pieterse Southern Clinic,Southern,POINT(18.438445 -33.992331)
24,van der Merwe Southern Clinic,Southern,POINT(18.499663 -34.067978)
25,Khumalo Tygerberg Clinic,Tygerberg,POINT(18.678466 -33.909762)
26,Botha Tygerberg Clinic,Tygerberg,POINT(18.613939 -33.833269)
27,Naidoo Tygerberg Clinic,Tygerberg,POINT(18.58094 -33.880193)
28,Adams Tygerberg Clinic,Tygerberg,POINT(18.673531 -33.911758)
29,Hendricks Tygerberg Clinic,Tygerberg,POINT(18.627788 -33.834612)
30,Jansen Tygerberg Clinic,Tygerberg,POINT(18.574099 -33.876911)
31,Mthembu Tygerberg Clinic,Tygerberg,POINT(18.665501 -33.913558)
32,Cloete Tygerberg Clinic,Tygerberg,POINT(18.641458 -33.836172)
33,September Tygerberg Clinic,Tygerberg,POINT(18.570503 -33.873619)
34,October Tygerberg Clinic,Tygerberg,POINT(18.654889 -33.915151)
35,Williams Tygerberg Clinic,Tygerberg,POINT(18.654079 -33.837939)
36,Patel Northern Clinic,Northern,POINT(18.652292 -33.781276)
37,Solomons Northern Clinic,Northern,POINT(18.588314 -33.79907)
38,du Toit Northern Clinic,Northern,POINT(18.71442 -33.701317)
39,Plaatjies Northern Clinic,Northern,POINT(18.671153 -33.777117)
40,Mbeki Northern Clinic,Northern,POINT(18.581843 -33.802295)
41,Mokoena Northern Clinic,Northern,POINT(18.701063 -33.702388)
42,Ndlovu Northern Clinic,Northern,POINT(18.688984 -33.772866)
43,Pieterse Northern Clinic,Northern,POINT(18.580036 -33.805293)
44,van der Merwe Northern Clinic,Northern,POINT(18.684768 -33.703768)
45,Khumalo Northern Clinic,Northern,POINT(18.704648 -33.768546)
46,Botha Eastern Clinic,Eastern,POINT(18.727635 -33.852256)
47,Naidoo Eastern Clinic,Eastern,POINT(18.728035 -33.861878)
48,Adams Eastern Clinic,Eastern,POINT(18.819549 -33.939883)
49,Hendricks Eastern Clinic,Eastern,POINT(18.741322 -33.855575)
50,Jansen Eastern Clinic,Eastern,POINT(18.716335 -33.858291)
51,Mthembu Eastern Clinic,Eastern,POINT(18.815812 -33.939998)
52,Cloete Eastern Clinic,Eastern,POINT(18.7562 -33.859051)
53,September Eastern Clinic,Eastern,POINT(18.707419 -33.854847)
54,October Eastern Clinic,Eastern,POINT(18.808516 -33.939819)
55,Williams Eastern Clinic,Eastern,POINT(18.771321 -33.862666)
56,Patel Klipfontein Clinic,Klipfontein,POINT(18.504291 -33.993739)
57,Solomons Klipfontein Clinic,Klipfontein,POINT(18.538871 -33.97474)
58,du Toit Klipfontein Clinic,Klipfontein,POINT(18.576669 -33.941723)
59,Plaatjies Klipfontein Clinic,Klipfontein,POINT(18.509944 -33.992334)
60,Mbeki Klipfontein Clinic,Klipfontein,POINT(18.528892 -33.976893)
61,Mokoena Klipfontein Clinic,Klipfontein,POINT(18.579503 -33.941066)
62,Ndlovu Klipfontein Clinic,Klipfontein,POINT(18.517513 -33.99081)
63,Pieterse Klipfontein Clinic,Klipfontein,POINT(18.51962 -33.97901)
64,van der Merwe Klipfontein Clinic,Klipfontein,POINT(18.579818 -33.940564)
65,Khumalo Mitchells Plain Clinic,Mitchells Plain,POINT(18.61394 -34.023507)
66,Botha Mitchells Plain Clinic,Mitchells Plain,POINT(18.593973 -34.007393)
67,Naidoo Mitchells Plain Clinic,Mitchells Plain,POINT(18.676699 -34.058137)
68,Adams Mitchells Plain Clinic,Mitchells Plain,POINT(18.626313 -34.025666)
69,Hendricks Mitchells Plain Clinic,Mitchells Plain,POINT(18.586437 -34.006012)
70,Jansen Mitchells Plain Clinic,Mitchells Plain,POINT(18.670735 -34.057301)
71,Mthembu Mitchells Plain Clinic,Mitchells Plain,POINT(18.638921 -34.027849)
72,Cloete Mitchells Plain Clinic,Mitchells Plain,POINT(18.581678 -34.004759)
73,September Khayelitsha Clinic,Khayelitsha,POINT(18.749114 -34.000231)
74,October Khayelitsha Clinic,Khayelitsha,POINT(18.687599 -34.047513)
75,Williams Khayelitsha Clinic,Khayelitsha,POINT(18.661432 -34.043001)
76,Patel Khayelitsha Clinic,Khayelitsha,POINT(18.7452 -34.000039)
77,Solomons Khayelitsha Clinic,Khayelitsha,POINT(18.700128 -34.045685)
78,du Toit Khayelitsha Clinic,Khayelitsha,POINT(18.654691 -34.044943)
79,Plaatjies Khayelitsha Clinic,Khayelitsha,POINT(18.738404 -34.000007)
80,Mbeki Khayelitsha Clinic,Khayelitsha,POINT(18.712648 -34.043773)
