osm_id,amenity_class,arrondissement_number,arrondissement_name
9000000000,restaurant,10,Paris 10e Arrondissement
9000000001,restaurant,4,Paris 4e Arrondissement
9000000002,bakery,10,Paris 10e Arrondissement
9000000003,bakery,13,Paris 13e Arrondissement
9000000004,restaurant,9,Paris 9e Arrondissement
9000000005,restaurant,15,Paris 15e Arrondissement
9000000006,restaurant,20,Paris 20e Arrondissement
9000000007,cafe,6,Paris 6e Arrondissement
9000000008,restaurant,18,Paris 18e Arrondissement
9000000009,cafe,5,Paris 5e Arrondissement
9000000010,restaurant,17,Paris 17e Arrondissement
9000000011,restaurant,6,Paris 6e Arrondissement
9000000012,restaurant,8,Paris 8e Arrondissement
9000000013,restaurant,1,Paris 1er Arrondissement
9000000014,restaurant,10,Paris 10e Arrondissement
9000000015,cafe,15,Paris 15e Arrondissement
9000000016,cafe,12,Paris 12e Arrondissement
9000000017,bakery,15,Paris 15e Arrondissement
9000000018,cafe,3,Paris 3e Arrondissement
9000000019,bakery,9,Paris 9e Arrondissement
9000000020,restaurant,19,Paris 19e Arrondissement
9000000021,cafe,9,Paris 9e Arrondissement
9000000022,restaurant,15,Paris 15e Arrondissement
9000000023,bakery,7,Paris 7e Arrondissement
9000000024,pharmacy,9,Paris 9e Arrondissement
9000000025,library,10,Paris 10e Arrondissement
9000000026,bakery,10,Paris 10e Arrondissement
9000000027,restaurant,8,Paris 8e Arrondissement
9000000028,bakery,18,Paris 18e Arrondissement
9000000029,restaurant,15,Paris 15e Arrondissement
9000000030,restaurant,11,Paris 11e Arrondissement
9000000031,bakery,15,Paris 15e Arrondissement
9000000032,bakery,19,Paris 19e Arrondissement
9000000033,pharmacy,14,Paris 14e Arrondissement
9000000034,pharmacy,15,Paris 15e Arrondissement
9000000035,cafe,1,Paris 1er Arrondissement
9000000036,restaurant,17,Paris 17e Arrondissement
9000000037,cafe,15,Paris 15e Arrondissement
9000000038,library,7,Paris 7e Arrondissement
9000000039,bakery,15,Paris 15e Arrondissement
9000000040,bakery,15,Paris 15e Arrondissement
9000000041,library,13,Paris 13e Arrondissement
9000000042,pharmacy,19,Paris 19e Arrondissement
9000000043,cafe,6,Paris 6e Arrondissement
9000000044,bakery,13,Paris 13e Arrondissement
9000000045,library,13,Paris 13e Arrondissement
9000000046,cafe,18,Paris 18e Arrondissement
9000000047,cafe,1,Paris 1er Arrondissement
9000000048,pharmacy,15,Paris 15e Arrondissement
9000000049,bakery,8,Paris 8e Arrondissement
9000000050,bakery,5,Paris 5e Arrondissement
9000000051,pharmacy,2,Paris 2e Arrondissement
9000000052,bakery,5,Paris 5e Arrondissement
9000000053,cafe,1,Paris 1er Arrondissement
9000000054,pharmacy,8,Paris 8e Arrondissement
9000000055,pharmacy,14,Paris 14e Arrondissement
9000000056,cafe,6,Paris 6e Arrondissement
9000000057,cafe,16,Paris 16e Arrondissement
9000000058,cafe,15,Paris 15e Arrondissement
9000000059,cafe,9,Paris 9e Arrondissement
9000000060,pharmacy,3,Paris 3e Arrondissement
9000000061,pharmacy,16,Paris 16e Arrondissement
9000000062,cafe,17,Paris 17e Arrondissement
9000000063,cafe,19,Paris 19e Arrondissement
9000000064,cafe,18,Paris 18e Arrondissement
9000000065,cafe,15,Paris 15e Arrondissement
9000000066,pharmacy,16,Paris 16e Arrondissement
9000000067,library,10,Paris 10e Arrondissement
9000000068,pharmacy,19,Paris 19e Arrondissement
9000000069,pharmacy,4,Paris 4e Arrondissement
9000000070,pharmacy,13,Paris 13e Arrondissement
9000000071,pharmacy,9,Paris 9e Arrondissement
9000000072,library,7,Paris 7e Arrondissement
9000000073,library,19,Paris 19e Arrondissement
9000000074,pharmacy,12,Paris 12e Arrondissement
9000000075,pharmacy,7,Paris 7e Arrondissement
9000000076,library,10,Paris 10e Arrondissement
9000000077,library,14,Paris 14e Arrondissement
9000000078,library,19,Paris 19e Arrondissement
9000000079,library,7,Paris 7e Arrondissement
9000000080,library,5,Paris 5e Arrondissement
9000000081,library,5,Paris 5e Arrondissement
9000000082,library,12,Paris 12e Arrondissement
9000000083,library,1,Paris 1er Arrondissement
9000000084,library,13,Paris 13e Arrondissement
